latitude,longitude,avg_convenience_dist,avg_transit_distance,avg_school_distance
49.2670015,-122.9984526,2.4640657903863303,,2.1848142954469356
49.223522,-122.9378694,,,
49.2274664,-123.0027837,1.9413649464769456,,1.8101773310881062
49.2192361,-122.9867791,0.4702529124039667,,0.8116496661402304
49.2238213,-122.9937756,1.547501727120549,,0.8001006107301978
49.2661042,-123.012536,1.904717361175751,,2.0290229820610493
49.2635425,-122.9998239,2.1062046515173662,,2.057807725593891
49.282573,-122.9923645,,,1.4197511372056457
49.2245617,-123.0048299,2.0369178765711733,,1.520123196915731
49.280126,-122.9097613,,2.9818480046976554,
49.2784675,-122.9086676,,2.819805624059088,
49.2634288,-123.0036019,1.9214523225158913,,2.0687386200094724
49.2804936,-123.0229162,,,1.8954411333947327
49.2281692,-122.9465246,,,
49.2190989,-123.0062314,1.7912512938371374,,1.7477580344118753
49.2661042,-123.012536,1.904717361175751,,2.0290229820610493
49.224346,-122.9937729,1.54201598862292,,1.5298976839673453
